ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
77424,0,13122.08422404633,0,0,13122.08422404633
77425,0,6837.10006565378,0,791.8422857721987,7628.942351425979
77426,0,6421.719441504373,0,277.332949709868,6699.052391214242
77427,0,927.3724179663092,0,2810.279267688983,3737.651685655292
77428,0,4191.810555248423,0,0,4191.810555248423
77429,0,4362.074691754823,0,0,4362.074691754823
77430,0,4368.741482958301,1131.8913309297238,0,5500.632813888025
77431,916.0856652361341,18315.306108694676,0,1915.943148396724,21147.334922327533
77432,0,12412.456118765622,0,0,12412.456118765622
77433,0,20765.932454231504,0,16.1992447185169,20782.131698950023
77434,0,4189.69171675123,0,758.5781881813431,4948.269904932573
77435,1570.03948667162,4529.45763465762,0,0,6099.497121329239
77436,0,7378.635646241519,0,1026.902991368901,8405.538637610418
77437,0,8922.40883400268,3642.610769101733,4657.265848136506,17222.285451240918
77438,2469.671967163228,7370.878560944601,0,1217.6961844849925,11058.24671259282
77439,0,8402.634528764918,0,1599.230087122848,10001.864615887767
77440,0,5252.733626258132,0,0,5252.733626258132
